Time,Channel A,D0,D1,D2,D3,D4,D5,D6,D7,RW,PHI
(us),(mV),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary)

2.23999994,0.00000000,1,1,0,0,1,1,0,1,1,1
2.25599994,-0.31557580,1,1,0,0,1,1,0,1,1,0
2.27199994,0.15748030,1,1,0,0,1,1,0,1,1,0
2.28799994,0.15748030,1,1,0,0,1,1,0,1,1,0
2.30399993,-0.47367130,1,1,0,0,1,1,0,1,1,0
2.31999993,-0.15748030,1,1,0,0,1,1,0,1,1,0
2.33599993,0.00000000,1,1,0,0,1,1,0,1,1,0
2.35199993,0.00000000,1,1,0,0,1,1,0,1,1,0
2.36799993,-0.15748030,1,1,0,0,1,1,0,1,1,0
2.38399993,0.00000000,1,1,0,0,1,1,0,1,1,0
2.39999993,0.15748030,1,1,0,0,1,1,0,1,1,0
2.41599993,0.00000000,1,1,0,0,1,1,0,1,1,0
2.43199993,0.15748030,1,1,0,0,1,1,0,1,1,0
2.44799993,0.15748030,1,1,0,0,1,1,0,1,1,0
2.46399993,0.15748030,1,1,0,0,1,1,0,1,1,0
2.47999993,0.00000000,1,1,0,0,1,1,0,1,1,0
2.49599993,-0.15748030,1,1,0,0,1,1,0,1,1,0
2.51199993,0.00000000,1,1,0,0,1,1,0,1,1,1
2.52799993,0.15748030,1,1,0,0,1,1,0,1,1,1
2.54399993,0.00000000,1,1,0,0,1,1,0,1,1,1
2.55999993,0.15748030,1,1,0,0,1,1,0,1,1,1
2.57599993,0.00000000,1,1,0,0,1,1,0,1,1,1
2.59199993,0.00000000,0,0,1,1,0,1,0,1,1,1
2.60799993,0.00000000,0,0,1,1,0,1,0,1,1,1
2.62399993,0.15748030,0,0,1,1,0,1,0,1,1,1
2.63999993,0.15748030,0,0,1,1,0,1,0,1,1,1
2.65599992,-0.15748030,0,0,1,1,0,1,0,1,1,1
2.67199992,0.00000000,0,0,1,1,0,1,0,1,1,1
2.68799992,0.15748030,0,0,1,1,0,1,0,1,1,1
2.70399992,0.15748030,0,0,1,1,0,1,0,1,1,1
2.71999992,0.15748030,0,0,1,1,0,1,0,1,1,1
2.73599992,0.15748030,0,0,1,1,0,1,0,1,1,1
2.75199992,0.15748030,0,0,1,1,0,1,0,1,1,0
2.76799992,-0.31557580,0,0,1,1,0,1,0,1,1,0
2.78399992,0.00000000,0,0,1,1,0,1,0,1,1,0
2.79999992,0.15748030,0,0,1,1,0,1,0,1,1,0
2.81599992,0.15748030,0,0,1,1,0,1,0,1,1,0
2.83199992,-0.15748030,0,0,1,1,0,1,0,1,1,0
2.84799992,0.15748030,0,0,1,1,0,1,0,1,1,0
2.86399992,0.00000000,0,0,1,1,0,1,0,1,1,0
2.87999992,0.00000000,0,0,1,1,0,1,0,1,1,0
2.89599992,0.00000000,0,0,1,1,0,1,0,1,1,0
2.91199992,0.15748030,0,0,1,1,0,1,0,1,1,0
2.92799992,0.15748030,0,0,1,1,0,1,0,1,1,0
